entity_text,label,count
Evander,pers,7
177,scope,7
Kleonæ,loc,7
Atossa,pers,7
Kratesiklea,pers,7
Sparta,pers,7
Roma,pers,7
Fidenae,loc,7
Furius,pers,7
Liv.,work,7
230,scope,7
Caius Julius Cæsar,pers,7
Hirtius,pers,7
Massalia,loc,7
Rufus,pers,7
Antiphon,pers,7
Sabinus,pers,7
Gaius,pers,7
Thasos,pers,7
Thapsus,loc,7
Gate,work,7
c. 33,scope,7
Coræs,pers,7
Kolophon,pers,7
Ktesiphon,pers,7
Korkyra,loc,7
167,scope,7
Kyzikeni,work,7
Erechtheus,pers,7
Sosibius,pers,7
Priam,pers,7
Proconsul,work,7
Procleius,pers,7
c. 32,scope,7
c. 43,scope,7
Pontius,pers,7
Potheinus,pers,7
Babylonia,loc,7
Terracina,loc,7
c. 40,scope,7
Agesistrata,pers,7
Agrippina,pers,7
Odysseus,pers,7
c. 58,scope,7
143,scope,7
Bellona,pers,7
Black,loc,7
191,scope,7
Tigranocerta,loc,7
"11, 13",scope,7
115,scope,7
117,scope,7
Metellus Nepos,pers,7
December,scope,7
Deinarchus,pers,7
236,scope,7
B.C. 82,scope,7
Orchomenus,loc,7
Adriatic,loc,7
Præneste,loc,7
Orodes,pers,7
Ostia,loc,7
Orestes,pers,7
Aethra,pers,7
Ateius,pers,7
Butas,pers,7
Hypsæus,pers,7
365,scope,7
Androkleides,pers,7
Amyntas,pers,7
Septimius,pers,7
c. 13,scope,7
Ambrones,pers,7
Anacharsis,pers,7
Mnestheus,pers,7
Licinius Crassus,pers,7
Liddell,pers,7
Argos,pers,7
Archipelago,work,7
426,scope,7
Domitian,pers,7
Valerius Maximus,pers,7
Scott,pers,7
c. 2,scope,7
B.C. 56,scope,7
Aruns,pers,7
Sinope,pers,7
Ides,work,7
Laco,pers,7
Tarsus,pers,7
Tib,pers,7
Hekatæus,pers,7
Nile,work,7
220,scope,7
Amazon,work,7
Xenokles,pers,7
Cæsar,loc,7
Albani,work,7
183,scope,7
Amazons,pers,7
Artasyras,pers,7
Laurentia,pers,7
Epidaurus,loc,7
Sextilis,pers,7
Urbanus,pers,7
Aristeas,pers,7
Petra,pers,7
98,scope,7
90,scope,7
Feretrius,pers,7
92,scope,7
168,scope,7
Timokreon,pers,7
B.C,scope,7
182,scope,7
134,scope,7
Salonius,pers,7
Marseilles,loc,7
Mallius,pers,7
Magnesia,pers,7
Macer,pers,7
Vibius,pers,7
Mago,pers,7
Machanidas,pers,7
Celer,pers,7
"1, 2",scope,7
Philoxenus,pers,6
Cloelia,pers,6
85,scope,6
Ceres,pers,6
Petronius,pers,6
Phaeax,pers,6
seventh,scope,6
seventy-five,scope,6
vi.,scope,6
vii.,scope,6
Scaurus,pers,6
Schaefer,pers,6
Lysandridas,pers,6
120,scope,6
136,scope,6
Diomedes,pers,6
Vell.,work,6
130,scope,6
132,scope,6
Saturn,pers,6
440,scope,6
Hersilia,pers,6
B.C. 66,scope,6
Placentia,loc,6
Aulus Gabinius,pers,6
Fabia,pers,6
301,scope,6
431,scope,6
Lycia,loc,6
441,scope,6
Lucanus,pers,6
Lucius Lucullus,pers,6
Arcadians,work,6
Aquinius,pers,6
Ligurians,work,6
Achaia,loc,6
Popilius,pers,6
Pomaxathres,pers,6
122,scope,6
124,scope,6
Calvisius,pers,6
Dellius,pers,6
Aquilius,pers,6
Eupolis,pers,6
Triarius,pers,6
Achradina,pers,6
Pella,loc,6
